Name,Author,Publisher,Demographic,Num of Volumes,Release Date,Status,Sales of Vol
One Piece,Eiichiro Oda,Shueisha,Shounen,102,1997,Publishing,490.0
Dragon Ball,Akira Toriyama,Shueisha,Shounen,42,1984,Finished,300.0
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,203,1968,Publishing,300.0
Detective Conan,Gosho Aoyama,Shogakukan,Shounen,100,1994,Publishing,250.0
Doraemon,Fujiko F. Fujio,Shogakukan,Children,53,1969,Finished,250.0
Naruto,Masashi Kishimoto,Shueisha,Shounen,72,1999,Finished,250.0
Slam Dunk,Takehiko Inoue,Shueisha,Shounen,31,1990,Finished,170.0
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shounen,201,1976,Finished,156.5
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shounen,23,2016,Finished,150.0
Crayon Shin-chan,Yoshito Usui,Futabasha,Seinen,58,1990,Publishing,148.0
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983,On Hiatus,135.0
Bleach,Tite Kubo,Shueisha,Shounen,74,2001,Finished,120.0
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shounen/Seinen,131,1987,Publishing,120.0
Astro Boy,Osamu Tezuka,Kobunsha,Shounen,23,1952,Finished,100.0
Attack on Titan,Hajime Isayama,Kodansha,Shounen,34,2009,Finished,100.0
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shounen,27,1983,Finished,100.0
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shounen/Seinen,87,1992,Publishing,100.0
Touch,Mitsuru Adachi,Shogakukan,Shounen,26,1981,Finished,100.0
Hajime no Ippo,George Morikawa,Kodansha,Shounen,132,1989,Publishing,96.0
Kingdom,Yasuhisa Hara,Shueisha,Seinen,64,2006,Publishing,87.0
Sazae-san,Machiko Hasegawa,Kodansha,Children,45,1946,Finished,86.0
Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shounen,143,1991,Publishing,85.0
Vagabond,Takehiko Inoue,Kodansha,Seinen,37,1998,On Hiatus,82.0
Captain Tsubasa,Yōichi Takahashi,Shueisha,Shounen/Seinen,96,1981,Publishing,80.0
Fullmetal Alchemist,Hiromu Arakawa,Enix (2001–2003)Square Enix (2003–2010),Shounen,27,2001,Finished,80.0
Sangokushi,Mitsuteru Yokoyama,Ushio Shuppansha,Shounen,60,1971,Finished,80.0
Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shounen,36,1998,On Hiatus,79.0
Kinnikuman,Yudetamago,Shueisha,Shounen/Seinen,76,1979,Publishing,77.0
Fairy Tail,Hiro Mashima,Kodansha,Shounen,63,2006,Finished,72.0
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Shounen,28,1994,Finished,72.0
Jujutsu Kaisen,Gege Akutami,Shueisha,Shounen,20,2018,Publishing,65.0
My Hero Academia,Kōhei Horikoshi,Shueisha,Shounen,32,2014,Publishing,65.0
Boys Over Flowers,Yoko Kamio,Shueisha,Shoujo,37,1992,Finished,61.0
Major,Takuya Mitsuda,Shogakukan,Shounen,101,1994,Publishing,60.5
Rokudenashi Blues,Masanori Morita,Shueisha,Shounen,42,1988,Finished,60.0
The Prince of Tennis,Takeshi Konomi,Shueisha,Shounen,42,1999,Finished,60.0
Gin Tama,Hideaki Sorachi,Shueisha,Shounen,77,2003,Finished,55.5
Bad Boys,Hiroshi Tanaka,Shōnen Gahōsha,Seinen,22,1988,Finished,55.0
H2,Mitsuru Adachi,Shogakukan,Shounen,34,1992,Finished,55.0
Initial D,Shuichi Shigeno,Kodansha,Seinen,48,1995,Finished,55.0
Ranma ½,Rumiko Takahashi,Shogakukan,Shounen,38,1987,Finished,55.0
Minami no Teiō,"Dai Tennōji, Rikiya Gō",Nihon Bungeisha,Shounen,159,1992,Publishing,53.0
Berserk,Kentaro Miura,Hakusensha,Seinen,41,1989,Finished,50.0
City Hunter,Tsukasa Hojo,Shueisha,Shounen,35,1985,Finished,50.0
Cobra,Buichi Terasawa,Shueisha,Shounen,18,1978,Finished,50.0
Devilman,Go Nagai,Kodansha,Shounen,5,1972,Finished,50.0
Fisherman Sanpei,Takao Yaguchi,Kodansha,Shounen,65,1973,Finished,50.0
Glass Mask,Suzue Miuchi,Hakusensha,Shoujo,49,1976,On Hiatus,50.0
Great Teacher Onizuka,Tooru Fujisawa,Kodansha,Shounen,25,1997,Finished,50.0
Haikyū!!,Haruichi Furudate,Shueisha,Shounen,45,2012,Finished,50.0
Inuyasha,Rumiko Takahashi,Shogakukan,Shounen,56,1996,Finished,50.0
Nana,Ai Yazawa,Shueisha,Shoujo,21,2000,On Hiatus,50.0
Saint Seiya,Masami Kurumada,Shueisha,Shounen,28,1986,Finished,50.0
Shoot!,Tsukasa Ōshima,Kodansha,Shounen,33,1990,Finished,50.0
Tokyo Revengers,Ken Wakui,Kodansha,Shounen,25,2017,Publishing,50.0
YuYu Hakusho,Yoshihiro Togashi,Shueisha,Shounen,19,1990,Finished,50.0
Dokaben,Shinji Mizushima,Akita Shoten,Shounen,48,1972,Finished,48.0
Dragon Quest: The Adventure of Dai,"Riku Sanjo, Koji Inada",Shueisha,Shounen,37,1989,Finished,47.0
Kosaku Shima,Kenshi Hirokane,Kodansha,Seinen,106,1983,Publishing,47.0
Tokyo Ghoul,Sui Ishida,Shueisha,Seinen,30,2011,Finished,47.0
