Name,Release_date,Status,Demographic,Genres,Theme,Score,Ranking,Popularity
Berserk,1989,On Hiatus,Seinen,"Action,Adventure,Award Winning,Drama,Fantasy,Horror,Supernatural","Gore,Military,Mythology,Psychological",9.44,1,2
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,2004,Finished,"Seinen,Shounen","Action,Adventure,Horror,Mystery,Supernatural",Historical,9.27,2,27
One Piece,1997,Publishing,Shounen,"Action,Adventure,Fantasy",No Th Tag,9.19,3,3
Vagabond,1998,On Hiatus,Seinen,"Action,Adventure,Award Winning,Drama","Historical,Samurai",9.18,4,16
Monster,1994,Finished,Seinen,"Award Winning,Drama,Mystery","Adult Cast,Psychological",9.11,5,31
Fullmetal Alchemist,2001,Finished,Shounen,"Action,Adventure,Award Winning,Drama,Fantasy",Military,9.06,6,18
Slam Dunk,1990,Finished,Shounen,"Award Winning,Sports","School,Team Sports",9.05,7,67
Oyasumi Punpun,2007,Finished,Seinen,"Drama,Slice of Life",Psychological,9.04,8,12
Grand Blue,2014,Publishing,Seinen,"Comedy,Slice of Life",No Th Tag,9.04,9,52
Vinland Saga,2005,Publishing,Seinen,"Action,Adventure,Award Winning,Drama",Historical,8.99,10,22
Kingdom,2006,Publishing,Seinen,"Action,Award Winning,Drama","Historical,Military",8.98,11,60
Monogatari Series: First Season,2006,Finished,No Demo Tag,"Action,Comedy,Mystery,Romance,Supernatural",Vampire,8.96,12,249
20th Century Boys,1999,Finished,Seinen,"Award Winning,Drama,Mystery,Sci-Fi","Historical,Psychological",8.95,13,29
Ashita no Joe,1968,Finished,Shounen,"Drama,Slice of Life,Sports",Combat Sports,8.95,14,341
Houseki no Kuni,2012,Publishing,Seinen,"Action,Drama,Fantasy",Anthropomorphic,8.94,15,122
Monogatari Series: Second Season,2010,Finished,No Demo Tag,"Comedy,Drama,Mystery,Supernatural",Vampire,8.91,16,742
3-gatsu no Lion,2007,Publishing,Seinen,"Award Winning,Drama,Slice of Life","Childcare,Iyashikei,Strategy Game",8.91,17,230
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2015,Publishing,Seinen,"Award Winning,Comedy","Romantic Subtext,School",8.91,18,26
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,2020,Publishing,No Demo Tag,Drama,"Psychological,School",8.91,19,653
Mikkakan no Koufuku,2013,Finished,No Demo Tag,Drama,No Th Tag,8.9,20,1472
